Posicao,Time,Rodada_atual,Vitorias,Empates,Derrotas,Saldo_gols,Pontuacao,Temporada,Ranking_cbf,Valor_time,Gols_marcados,Gols_sofridos,Taxa_gols,Aproveitamento
1,Cruzeiro,1,1,0,0,5,3,2013,13096,55.25,5,0,1.0,1.0
2,Grêmio Porto Alegre,1,1,0,0,2,3,2013,14460,77.65,2,0,1.0,1.0
3,Vasco da Gama,1,1,0,0,1,3,2013,15030,27.2,1,0,1.0,1.0
4,São Paulo FC,1,1,0,0,2,3,2013,14786,115.8,2,0,1.0,1.0
5,Coritiba FC,1,1,0,0,1,3,2013,12804,31.4,2,1,2.0,1.0
6,Criciúma - SC,1,1,0,0,2,3,2013,4370,15.1,3,1,3.0,1.0
7,Fluminense RJ,1,1,0,0,1,3,2013,16208,68.15,2,1,2.0,1.0
8,Vitória - BA,1,0,1,0,0,1,2013,9900,17.88,2,2,1.0,0.3333333333333333
9,Botafogo - RJ,1,0,1,0,0,1,2013,10622,36.0,1,1,1.0,0.3333333333333333
10,Santos FC,1,0,1,0,0,1,2013,13736,103.75,0,0,1.0,0.3333333333333333
11,Corinthians SP,1,0,1,0,0,1,2013,15624,84.55,1,1,1.0,0.3333333333333333
12,Internacional,1,0,1,0,0,1,2013,14360,62.3,2,2,1.0,0.3333333333333333
13,Athletico Paranaense,1,0,0,1,-1,0,2013,11078,15.85,1,2,0.5,0.0
14,Atlético Mineiro,1,0,0,1,-1,0,2013,11520,46.1,1,2,0.5,0.0
15,Náutico - PE,1,0,0,1,-2,0,2013,8036,14.1,0,2,0.0,0.0
16,Ponte Preta,1,0,0,1,-2,0,2013,7600,13.78,0,2,0.0,0.0
17,Goiás,1,0,0,1,-5,0,2013,9896,8.65,0,5,0.0,0.0
18,Bahia - BA,1,0,0,1,-2,0,2013,9282,24.05,1,3,0.333,0.0
19,Flamengo RJ,1,0,1,0,0,-3,2013,14352,44.45,0,0,1.0,-1.0
20,Portuguesa - SP,1,0,0,1,-1,-4,2013,7840,16.5,0,1,0.0,-1.3333333333333333
1,São Paulo FC,2,2,0,0,6,6,2013,14786,115.8,7,1,7.0,1.0
2,Cruzeiro,2,1,1,0,5,4,2013,13096,55.25,7,2,3.5,0.6666666666666666
3,Vitória - BA,2,1,1,0,3,4,2013,9900,17.88,5,2,2.5,0.6666666666666666
4,Botafogo - RJ,2,1,1,0,1,4,2013,10622,36.0,3,2,1.5,0.6666666666666666
5,Coritiba FC,2,1,1,0,1,4,2013,12804,31.4,2,1,2.0,0.6666666666666666
6,Internacional,2,1,1,0,2,4,2013,14360,62.3,4,2,2.0,0.6666666666666666
7,Atlético Mineiro,2,1,0,1,1,3,2013,11520,46.1,3,2,1.5,0.5
8,Grêmio Porto Alegre,2,1,0,1,0,3,2013,14460,77.65,2,2,1.0,0.5
9,Ponte Preta,2,1,0,1,0,3,2013,7600,13.78,2,2,1.0,0.5
10,Vasco da Gama,2,1,0,1,-3,3,2013,15030,27.2,2,5,0.4,0.5
11,Criciúma - SC,2,1,0,1,0,3,2013,4370,15.1,3,3,1.0,0.5
12,Fluminense RJ,2,1,0,1,0,3,2013,16208,68.15,3,3,1.0,0.5
13,Corinthians SP,2,0,2,0,0,2,2013,15624,84.55,2,2,1.0,0.3333333333333333
14,Athletico Paranaense,2,0,1,1,-1,1,2013,11078,15.85,3,4,0.75,0.16666666666666666
15,Santos FC,2,0,1,1,-1,1,2013,13736,103.75,1,2,0.5,0.16666666666666666
16,Goiás,2,0,1,1,-5,1,2013,9896,8.65,1,6,0.167,0.16666666666666666
17,Bahia - BA,2,0,1,1,-2,1,2013,9282,24.05,1,3,0.333,0.16666666666666666
18,Náutico - PE,2,0,0,2,-5,0,2013,8036,14.1,0,5,0.0,0.0
19,Portuguesa - SP,2,1,0,1,0,-1,2013,7840,16.5,2,2,1.0,-0.16666666666666666
20,Flamengo RJ,2,0,1,1,-2,-3,2013,14352,44.45,0,2,0.0,-0.5
1,Vitória - BA,3,2,1,0,5,7,2013,9900,17.88,7,2,3.5,0.7777777777777778
2,Botafogo - RJ,3,2,1,0,2,7,2013,10622,36.0,5,3,1.667,0.7777777777777778
3,São Paulo FC,3,2,1,0,6,7,2013,14786,115.8,7,1,7.0,0.7777777777777778
4,Fluminense RJ,3,2,0,1,3,6,2013,16208,68.15,6,3,2.0,0.6666666666666666
5,Corinthians SP,3,1,2,0,1,5,2013,15624,84.55,3,2,1.5,0.5555555555555556
6,Coritiba FC,3,1,2,0,1,5,2013,12804,31.4,3,2,1.5,0.5555555555555556
7,Cruzeiro,3,1,1,1,4,4,2013,13096,55.25,8,4,2.0,0.4444444444444444
8,Atlético Mineiro,3,1,1,1,1,4,2013,11520,46.1,3,2,1.5,0.4444444444444444
9,Grêmio Porto Alegre,3,1,1,1,0,4,2013,14460,77.65,3,3,1.0,0.4444444444444444
10,Bahia - BA,3,1,1,1,-1,4,2013,9282,24.05,3,4,0.75,0.4444444444444444
11,Internacional,3,1,1,1,1,4,2013,14360,62.3,5,4,1.25,0.4444444444444444
12,Ponte Preta,3,1,0,2,-1,3,2013,7600,13.78,2,3,0.667,0.3333333333333333
13,Vasco da Gama,3,1,0,2,-5,3,2013,15030,27.2,2,7,0.286,0.3333333333333333
14,Criciúma - SC,3,1,0,2,-3,3,2013,4370,15.1,3,6,0.5,0.3333333333333333
15,Athletico Paranaense,3,0,2,1,-1,2,2013,11078,15.85,5,6,0.833,0.2222222222222222
16,Santos FC,3,0,2,1,-1,2,2013,13736,103.75,2,3,0.667,0.2222222222222222
17,Goiás,3,0,2,1,-5,2,2013,9896,8.65,2,7,0.286,0.2222222222222222
18,Náutico - PE,3,0,1,2,-5,1,2013,8036,14.1,2,7,0.286,0.1111111111111111
19,Portuguesa - SP,3,1,1,1,0,0,2013,7840,16.5,4,4,1.0,0.0
20,Flamengo RJ,3,0,2,1,-2,-2,2013,14352,44.45,2,4,0.5,-0.2222222222222222
1,Coritiba FC,4,2,2,0,2,8,2013,12804,31.4,5,3,1.667,0.6666666666666666
2,Cruzeiro,4,2,1,1,5,7,2013,13096,55.25,9,4,2.25,0.5833333333333334
3,Vitória - BA,4,2,1,1,4,7,2013,9900,17.88,7,3,2.333,0.5833333333333334
4,Botafogo - RJ,4,2,1,1,1,7,2013,10622,36.0,6,5,1.2,0.5833333333333334
5,Grêmio Porto Alegre,4,2,1,1,1,7,2013,14460,77.65,4,3,1.333,0.5833333333333334
6,São Paulo FC,4,2,1,1,5,7,2013,14786,115.8,7,2,3.5,0.5833333333333334
7,Bahia - BA,4,2,1,1,0,7,2013,9282,24.05,5,5,1.0,0.5833333333333334
8,Vasco da Gama,4,2,0,2,-3,6,2013,15030,27.2,4,7,0.571,0.5
9,Criciúma - SC,4,2,0,2,-1,6,2013,4370,15.1,6,7,0.857,0.5
10,Fluminense RJ,4,2,0,2,2,6,2013,16208,68.15,7,5,1.4,0.5
11,Athletico Paranaense,4,1,2,1,0,5,2013,11078,15.85,9,9,1.0,0.4166666666666667
12,Goiás,4,1,2,1,-4,5,2013,9896,8.65,3,7,0.429,0.4166666666666667
13,Corinthians SP,4,1,2,1,0,5,2013,15624,84.55,3,3,1.0,0.4166666666666667
14,Internacional,4,1,2,1,1,5,2013,14360,62.3,6,5,1.2,0.4166666666666667
15,Atlético Mineiro,4,1,1,2,-1,4,2013,11520,46.1,3,4,0.75,0.3333333333333333
16,Náutico - PE,4,1,1,2,-4,4,2013,8036,14.1,3,7,0.429,0.3333333333333333
17,Ponte Preta,4,1,0,3,-2,3,2013,7600,13.78,5,7,0.714,0.25
18,Santos FC,4,0,2,2,-3,2,2013,13736,103.75,3,6,0.5,0.16666666666666666
19,Portuguesa - SP,4,1,2,1,0,1,2013,7840,16.5,5,5,1.0,0.08333333333333333
20,Flamengo RJ,4,0,2,2,-3,-2,2013,14352,44.45,2,5,0.4,-0.16666666666666666
1,Coritiba FC,5,3,2,0,3,11,2013,12804,31.4,6,3,2.0,0.7333333333333333
2,Vitória - BA,5,3,1,1,5,10,2013,9900,17.88,10,5,2.0,0.6666666666666666
3,Botafogo - RJ,5,3,1,1,3,10,2013,10622,36.0,8,5,1.6,0.6666666666666666
4,Fluminense RJ,5,3,0,2,3,9,2013,16208,68.15,9,6,1.5,0.6
5,Cruzeiro,5,2,2,1,5,8,2013,13096,55.25,11,6,1.833,0.5333333333333333
6,Grêmio Porto Alegre,5,2,2,1,1,8,2013,14460,77.65,5,4,1.25,0.5333333333333333
7,São Paulo FC,5,2,2,1,5,8,2013,14786,115.8,8,3,2.667,0.5333333333333333
8,Bahia - BA,5,2,2,1,0,8,2013,9282,24.05,6,6,1.0,0.5333333333333333
9,Vasco da Gama,5,2,1,2,-3,7,2013,15030,27.2,5,8,0.625,0.4666666666666667
10,Corinthians SP,5,1,3,1,0,6,2013,15624,84.55,3,3,1.0,0.4
11,Internacional,5,1,3,1,1,6,2013,14360,62.3,8,7,1.143,0.4
12,Criciúma - SC,5,2,0,3,-4,6,2013,4370,15.1,6,10,0.6,0.4
13,Athletico Paranaense,5,1,2,2,-1,5,2013,11078,15.85,11,12,0.917,0.3333333333333333
14,Santos FC,5,1,2,2,-2,5,2013,13736,103.75,4,6,0.667,0.3333333333333333
15,Goiás,5,1,2,2,-5,5,2013,9896,8.65,4,9,0.444,0.3333333333333333
16,Atlético Mineiro,5,1,1,3,-2,4,2013,11520,46.1,3,5,0.6,0.26666666666666666
17,Náutico - PE,5,1,1,3,-5,4,2013,8036,14.1,3,8,0.375,0.26666666666666666
18,Ponte Preta,5,1,0,4,-4,3,2013,7600,13.78,5,9,0.556,0.2
19,Portuguesa - SP,5,1,3,1,0,2,2013,7840,16.5,5,5,1.0,0.13333333333333333
20,Flamengo RJ,5,1,2,2,0,1,2013,14352,44.45,5,5,1.0,0.06666666666666667
1,Botafogo - RJ,6,4,1,1,4,13,2013,10622,36.0,9,5,1.8,0.7222222222222222
2,Coritiba FC,6,3,3,0,3,12,2013,12804,31.4,8,5,1.6,0.6666666666666666
3,Vitória - BA,6,3,1,2,4,10,2013,9900,17.88,10,6,1.667,0.5555555555555556
4,Cruzeiro,6,2,3,1,5,9,2013,13096,55.25,12,7,1.714,0.5
5,Grêmio Porto Alegre,6,2,3,1,1,9,2013,14460,77.65,6,5,1.2,0.5
6,Corinthians SP,6,2,3,1,2,9,2013,15624,84.55,5,3,1.667,0.5
7,Internacional,6,2,3,1,3,9,2013,14360,62.3,13,10,1.3,0.5
8,Fluminense RJ,6,3,0,3,2,9,2013,16208,68.15,9,7,1.286,0.5
9,Santos FC,6,2,2,2,0,8,2013,13736,103.75,6,6,1.0,0.4444444444444444
10,Goiás,6,2,2,2,-4,8,2013,9896,8.65,5,9,0.556,0.4444444444444444
11,São Paulo FC,6,2,2,2,3,8,2013,14786,115.8,8,5,1.6,0.4444444444444444
12,Bahia - BA,6,2,2,2,-2,8,2013,9282,24.05,6,8,0.75,0.4444444444444444
13,Atlético Mineiro,6,2,1,3,-1,7,2013,11520,46.1,6,7,0.857,0.3888888888888889
14,Vasco da Gama,6,2,1,3,-5,7,2013,15030,27.2,8,13,0.615,0.3888888888888889
15,Athletico Paranaense,6,1,3,2,-1,6,2013,11078,15.85,12,13,0.923,0.3333333333333333
16,Ponte Preta,6,2,0,4,-2,6,2013,7600,13.78,8,10,0.8,0.3333333333333333
17,Criciúma - SC,6,2,0,4,-5,6,2013,4370,15.1,8,13,0.615,0.3333333333333333
18,Náutico - PE,6,1,1,4,-7,4,2013,8036,14.1,4,11,0.364,0.2222222222222222
19,Portuguesa - SP,6,1,4,1,0,3,2013,7840,16.5,6,6,1.0,0.16666666666666666
20,Flamengo RJ,6,1,3,2,0,2,2013,14352,44.45,7,7,1.0,0.1111111111111111
1,Coritiba FC,7,4,3,0,4,15,2013,12804,31.4,9,5,1.8,0.7142857142857143
2,Vitória - BA,7,4,1,2,5,13,2013,9900,17.88,13,8,1.625,0.6190476190476191
3,Botafogo - RJ,7,4,1,2,3,13,2013,10622,36.0,10,7,1.429,0.6190476190476191
4,Cruzeiro,7,3,3,1,8,12,2013,13096,55.25,15,7,2.143,0.5714285714285714
5,Grêmio Porto Alegre,7,3,3,1,2,12,2013,14460,77.65,8,6,1.333,0.5714285714285714
6,Internacional,7,3,3,1,4,12,2013,14360,62.3,16,12,1.333,0.5714285714285714
7,Santos FC,7,3,2,2,3,11,2013,13736,103.75,10,7,1.429,0.5238095238095238
8,Atlético Mineiro,7,3,1,3,0,10,2013,11520,46.1,7,7,1.0,0.47619047619047616
9,Goiás,7,2,3,2,-4,9,2013,9896,8.65,5,9,0.556,0.42857142857142855
10,Corinthians SP,7,2,3,2,1,9,2013,15624,84.55,5,4,1.25,0.42857142857142855
11,Bahia - BA,7,2,3,2,-2,9,2013,9282,24.05,6,8,0.75,0.42857142857142855
12,Fluminense RJ,7,3,0,4,1,9,2013,16208,68.15,11,10,1.1,0.42857142857142855
